id	name	address	division	score	history	fairness	accepts	rejects	running	finished	problem_del	vcpus	memory	local_gb	vcpus_used	memory_used	local_gb_used	max_instance	token	suspend	enabled	last_choice	playoff
47	playerVirtual46	192.168.0.200	3	1.33	30	1	3	0	2	1	0	1023	1047552	10230	2	2560	21	30	14fb4f8209e4d3d3cbe55e1f8063f4c85e1eca92	NULL	1	2018-01-16 09:14:05	0
51	playerVirtual50	192.168.0.200	3	1.99	26	1	3	0	2	1	0	1023	1047552	10230	3	6144	60	30	6c3f854b86886911fad8bac8d1e2547a36100ce0	NULL	1	2018-01-16 09:53:09	0
52	playerVirtual51	192.168.0.200	3	1.33	25	1	2	0	2	0	0	1023	1047552	10230	2	2560	21	30	7c42b0e7ca4d39f3da45dd316eaffea883591bdc	NULL	1	2018-01-16 08:55:59	0
59	playerVirtual58	192.168.0.200	3	1.99	18	1	2	0	1	1	0	1023	1047552	10230	1	2048	20	30	feb03d5bab0587fd0a7be9a9594678834c30687b	NULL	1	2018-01-16 09:30:29	0
60	playerVirtual59	192.168.0.200	3	0	17	1	2	0	2	0	0	1023	1047552	10230	2	4096	40	30	5693cbf29542b53c275dabdb9ae397079a787b52	NULL	1	2018-01-16 09:25:06	0
63	playerVirtual62	192.168.0.200	3	1.99	14	1	2	0	2	0	0	1023	1047552	10230	3	6144	60	30	e59bece75a72ae8632b9b1f37a91b83b952e72bf	NULL	1	2018-01-16 09:50:08	0
64	playerVirtual63	192.168.0.200	3	1.33	13	0	1	0	1	0	0	1023	1047552	10230	1	512	1	30	f4b32fc6c7e4365f21b8e2e5c100dd3fe255aa1e	NULL	1	2018-01-16 08:48:23	0
65	playerVirtual64	192.168.0.200	3	1.33	12	0	1	0	1	0	0	1023	1047552	10230	1	512	1	30	4854861eec9c400002bd4ab78703d14b2e20c36a	NULL	1	2018-01-16 08:51:49	0
66	playerVirtual65	192.168.0.200	3	1.99	11	0	1	0	0	1	0	1023	1047552	10230	0	0	0	30	bcdf9cbc33d6f508fe7c897663adaf1bdc47406d	NULL	1	2018-01-16 08:56:12	0
67	playerVirtual66	192.168.0.200	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	63263fa26b5991316a0e18086dfe017468d0dc80	NULL	1	2018-01-01 00:00:00	0
68	playerVirtual67	192.168.0.200	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	22b397b92f81d312ff0d74e9b118ba502aa44b69	NULL	1	2018-01-01 00:00:00	0
69	playerVirtual68	192.168.0.200	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	b9b063f53522f176c3beaafc6d5ee7ab97c3a5b7	NULL	1	2018-01-01 00:00:00	0
70	playerVirtual69	192.168.0.200	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	891ecda944862bba0c930c92e230307dc772efb8	NULL	1	2018-01-01 00:00:00	0
71	playerVirtual70	192.168.0.200	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8f55b59004b9903c81d76694b1452fb47eb8e037	NULL	1	2018-01-01 00:00:00	0
72	playerVirtual71	192.168.0.200	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7f061ec80a405004759897aff0a8b3f1872d6249	NULL	1	2018-01-01 00:00:00	0
73	playerVirtual72	192.168.0.200	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	a1832756030732dfab31c0131397ee53c2a0c7ac	NULL	1	2018-01-01 00:00:00	0
74	playerVirtual73	192.168.0.200	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	a329ba1c141ef89e1add85c7c6e6469538741ab8	NULL	1	2018-01-01 00:00:00	0
75	playerVirtual74	192.168.0.200	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	66cae471db0a08d5cfd109bf36a5e391287eba59	NULL	1	2018-01-01 00:00:00	0
76	playerVirtual75	192.168.0.200	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	f5b79510c61ba6beff2a7abc7dd775bd465a99df	NULL	1	2018-01-01 00:00:00	0
77	playerVirtual76	192.168.0.200	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	db110f5663731f843e31aab6fc34763c26d8cd3f	NULL	1	2018-01-01 00:00:00	0
